Ref,LEA_Name,Reference,Contract,POST Participating,City,Latitude,Longitude,County,State,LEA_Type,Site,Policy_Manual_Exists,Mil_Equip_Policy_Exists,Military Equipment Inventory Exists,QA_Policy_Manual,QA_Mil_Equip_Policy,QA Mil_Equip_Inventory (if separate),Notes
SB978-156,Dos Palos Police Department,,no,yes,Dos Palos,36.98560,-120.6278,Merced County,California,Police,https://www.dospalospd.org,TRUE,TRUE,,https://www.dospalospd.org/_files/ugd/87680d_b57afbfcb2bf416faa5127e5a83d7857.pdf,https://www.dospalospd.org/_files/ugd/87680d_b57afbfcb2bf416faa5127e5a83d7857.pdf,,
SB978-157,Downey Police Department,,no,yes,Downey,33.94077,-118.1277,Los Angeles County,California,Police,https://www.downeyca.org,TRUE,TRUE,,https://www.downeyca.org/Home/ShowAsyncTempDocument?folderGuid=52AN6WJV&fileName=2a7c3e1daea54edd932dea9e4ef2b731_DPD_PolicyManual.pdf&ContentType=application%2Fpdf,https://www.downeyca.org/home/showpublisheddocument/6512/637878573693470000,,
SB978-158,East Bay Regional Parks District Department of Public Safety,,no,yes,Castro Valley,37.69469,-122.0853,Alameda County,California,Parks,https://www.ebparks.org,TRUE,TRUE,,https://www.ebparks.org/sites/default/files/EBRPD%20Police%20Policy%20Manual%202021%2006-21.pdf,NA,,
SB978-159,East Palo Alto Police Department,,no,yes,East Palo Alto,37.47320,-122.1396,San Mateo County,California,Police,https://www.cityofepa.org,TRUE,TRUE,,https://www.cityofepa.org/police/page/policies-and-procedures,https://www.cityofepa.org/sites/default/files/fileattachments/police_department/page/8571/705_military_equipment_policy.pdf,,
SB978-160,El Cajon Police Department,,no,yes,El Cajon,32.79495,-116.9590,San Diego County,California,Police,https://docs.cityofelcajon.us,TRUE,TRUE,,NA,NA,,
SB978-161,El Camino Community College District Police Department,,no,yes,Torrance,33.83707,-118.3432,Los Angeles County,California,College/University,https://www.elcamino.edu,TRUE,TRUE,,https://www.elcamino.edu/about/depts/police/docs/ECPD%20Manual.pdf,https://www.elcamino.edu/support/health-safety/police/specnotice/docs/Policy_706.pdf,,
SB978-162,El Centro Police Department,,no,yes,El Centro,32.79616,-115.5700,Imperial County,California,Police,http://www.cityofelcentro.org,TRUE,TRUE,,https://cityofelcentro.org/police/wp-content/uploads/sites/9/2022/07/RELEASE_20220308_T173248_El_Centro_PD_Policy_Manual-1.pdf,https://cityofelcentro.org/police/wp-content/uploads/sites/9/2022/07/RELEASE_20220308_T173248_El_Centro_PD_Policy_Manual-1.pdf,,
SB978-163,El Cerrito Police Department,,no,yes,El Cerrito,37.91563,-122.3115,Contra Costa County,California,Police,https://www.el-cerrito.org,TRUE,TRUE,,https://www.el-cerrito.org/DocumentCenter/View/17217/El-Cerrito-PD-Policy-Manual,https://www.el-cerrito.org/DocumentCenter/View/17217/El-Cerrito-PD-Policy-Manual,,
SB978-165,El Dorado County Sheriff's Department,,no,yes,South Lake Tahoe,38.91162,-120.0078,El Dorado County,California,Sheriff,https://www.edcgov.us,TRUE,TRUE,,https://www.edcgov.us/Government/sheriff/Documents/2020_EDSO_Policy_Manual.pdf,https://www.edcgov.us/Government/sheriff/Documents/EDSOPolicy709Military_Equipment.pdf,,
SB978-166,El Monte Police Department,,no,yes,El Monte,34.07105,-118.0309,Los Angeles County,California,Police,https://www.ci.el-monte.ca.us,TRUE,TRUE,TRUE,https://www.ci.el-monte.ca.us/DocumentCenter/View/3728/El-Monte-Police-Policy-Manual-01-22-20,https://www.ci.el-monte.ca.us/DocumentCenter/View/5311/EMPD-Policy-706---Military_Equipment,https://www.ci.el-monte.ca.us/DocumentCenter/View/5310/El-Monte-PD-Military-Equipment-Inventory-,
SB978-168,El Segundo Police Department,,no,yes,El Segundo,33.92084,-118.4160,Los Angeles County,California,Police,https://www.elsegundopd.org,TRUE,TRUE,,https://www.elsegundopd.org/Home/ShowDocument?id=1061,https://www.elsegundopd.org/home/showpublisheddocument/5178/637831155687070000,,
SB978-169,Elk Grove Police Department,,no,yes,Elk Grove,38.40902,-121.3651,Sacramento County,California,Police,http://www.elkgrovepd.org,TRUE,TRUE,,https://www.elkgrovepd.org/transparency/egpd_policy_manual,https://cdn5-hosted.civiclive.com/UserFiles/Servers/Server_118017/File/Education%20and%20Training%20Materials/Military%20Equipment%20031022.pdf,,
SB978-170,Emeryville Police Department,,no,yes,Emeryville,37.83717,-122.3017,Alameda County,California,Police,https://www.ci.emeryville.ca.us,TRUE,TRUE,,https://www.ci.emeryville.ca.us/ArchiveCenter/ViewFile/Item/5064,https://www.ci.emeryville.ca.us/ArchiveCenter/ViewFile/Item/5064,,
SB978-171,Escalon Police Department,,no,yes,Escalon,37.79676,-120.9954,San Joaquin County,California,Police,http://www.cityofescalon.org,TRUE,TRUE,,https://escalon.hosted.civiclive.com/government/departments/police/policiesprocedures,NA,,
SB978-172,Escondido Police Department,,no,yes,Escondido,33.12354,-117.0823,San Diego County,California,Police,https://police.escondido.org,TRUE,TRUE,,https://police.escondido.org/SharedFiles/Download.aspx?pageid=3026&mid=5045&fileid=118583,https://www.police.escondido.org/Data/Sites/4/media/pdfs/DI1.55MilitaryEquipmentUsePolicy031722.pdf,,
SB978-173,Etna Police Department,,no,yes,Etna,41.45711,-122.8928,Siskiyou County,California,Police,https://www.etnaca.com,TRUE,TRUE,,https://www.etnaca.com/_files/ugd/70436e_409291161be64ec28b1cac784312754d.pdf,NA,,
SB978-174,Eureka Police Department,,no,yes,Eureka,40.80327,-124.1595,Humboldt County,California,Police,http://www.ci.eureka.ca.gov,TRUE,TRUE,,https://new.ci.eureka.ca.gov/civicax/filebank/blobdload.aspx?BlobID=19155,NA,,
SB978-175,Exeter Police Department,,no,yes,Exeter,36.29779,-119.1361,Tulare County,California,Police,https://cityofexeter.com/departments/exeter-police-department/,TRUE,TRUE/Draft,TRUE,https://cityofexeter.com/documents/police-department-policy-manual/,https://cityofexeter.com/wp-content/uploads/2022/05/Draft-Uncodified-Ordinance-703-Exhibit-A-EPD-Policy-706-Military-Equipment.pdf,https://cityofexeter.com/wp-content/uploads/2022/05/Exeter-Police-Department-Military-Equipment-Inventory.pdf,Inventory is separate. Seems to be not yet approved but not a draft.
SB978-177,Fairfax Police Department,,no,yes,Fairfax,37.98517,-122.5904,Marin County,California,Police,https://www.townoffairfax.org,TRUE,TRUE,TRUE,https://www.fostercity.org/sites/default/files/fileattachments/police/page/18231/2022_fcpd_policy_manual.pdf,https://www.fostercity.org/sites/default/files/fileattachments/police/page/41631/military_equipment_use_policy.pdf,https://www.fostercity.org/sites/default/files/fileattachments/police/page/41631/equipment_list_ab_481.pdf,
SB978-178,Fairfield Police Department,,no,yes,Fairfield,38.24924,-122.0443,Solano County,California,Police,http://www.fairfield.ca.gov,TRUE,TRUE,,https://www.fairfield.ca.gov/home/showpublisheddocument/3690/637746495363430000,https://www.fairfield.ca.gov/home/showpublisheddocument/6879/637847620058430000,,
SB978-179,Farmersville Police Department,,no,yes,Farmersville,36.29924,-119.2072,Tulare County,California,Police,https://www.cityoffarmersville-ca.gov,TRUE,TRUE,,https://www.cityoffarmersville-ca.gov/DocumentCenter/View/736/Farmersville_PD_Policy_Manual-ver-07-22-2020,NA,,
SB978-180,Ferndale Police Department,,no,yes,Ferndale,40.58029,-124.2605,Humboldt County,California,Police,https://ci.ferndale.ca.us,TRUE,TRUE,,https://ci.ferndale.ca.us/wp/wp-content/uploads/Ferndale_PD_Policy_Manual-7-12-22.pdf,https://ci.ferndale.ca.us/wp/wp-content/uploads/Ferndale_PD_Policy_Manual-7-12-22.pdf,,
SB978-181,Firebaugh Police Department,,no,yes,Firebaugh,36.85605,-120.4551,Fresno County,California,Police,https://firebaugh.org,TRUE,TRUE,,https://firebaugh.org/wp-content/uploads/2020/07/Firebaugh_PD_Policy_Manual.pdf,https://firebaugh.org/wp-content/uploads/2022/05/AB481.pdf,,
SB978-182,Folsom Lake College Police Department,Los Rios Community College District Police Department,no,yes,Folsom,38.68175,-121.1628,Sacramento County,California,College/University,https://police.losrios.edu,TRUE,TRUE,,https://police.losrios.edu/lrpd/doc/policy-manual.pdf,https://police.losrios.edu/lrpd/doc/policy-manual.pdf,,
SB978-183,Folsom Police Department,,no,yes,Folsom,38.68175,-121.1628,Sacramento County,California,Police,https://www.folsom.ca.us,TRUE,TRUE,TRUE,https://www.folsom.ca.us/home/showpublisheddocument/8726/637767882069630000,https://www.folsom.ca.us/home/showpublisheddocument/11025/637915899246144580,https://www.folsom.ca.us/home/showpublisheddocument/9999/637837281174470000,
SB978-184,Fontana Police Department,,no,yes,Fontana,34.10261,-117.4358,San Bernardino County,California,Police,https://www.fontana.org,TRUE,TRUE,,https://www.fontana.org/3263/Training-Materials,https://www.fontana.org/DocumentCenter/View/37815/709-Military-Equipment,,
SB978-187,Fort Bragg Police Department,,no,yes,Fort Bragg,39.44672,-123.8059,Mendocino County,California,Police,https://city.fortbragg.com,TRUE,TRUE,,https://www.city.fortbragg.com/home/showpublisheddocument/284/637709979557930000,NA,,
SB978-188,Fortuna Police Department,,no,yes,Fortuna,40.59756,-124.1555,Humboldt County,California,Police,https://www.friendlyfortuna.com,TRUE,TRUE,,https://cms8.revize.com/revize/fortunaca/Document%20center/Department/Public%20Safety/Department%20Policies/Fortuna%20PD%20Policy%20Manual%2001-2022.pdf,https://cms8.revize.com/revize/fortunaca/Document%20center/Department/Public%20Safety/Assembly%20Bill%20481/2022-753_Military%20Equipment%20Use%20Policy.pdf,,
SB978-189,Foster City Police Department,,no,yes,Foster City,37.56114,-122.2689,San Mateo County,California,Police,https://www.fostercity.org,TRUE,TRUE,,https://www.fostercity.org/sites/default/files/fileattachments/police/page/18231/2022_fcpd_policy_manual.pdf,https://www.fostercity.org/sites/default/files/fileattachments/police/page/18231/2022_fcpd_policy_manual.pdf,,
SB978-190,Fountain Valley Police Department,,no,yes,Fountain Valley,33.708611,-117.956389,Orange County,California,Police,https://www.fountainvalley.org,TRUE,TRUE,,https://www.fountainvalley.org/DocumentCenter/View/10504/Department-Policy-Manualpdf,https://www.fountainvalley.org/DocumentCenter/View/14952/AB-481---Military-Equipment-Website,,
SB978-191,Fowler Police Department,,no,yes,Fowler,36.62998,-119.6783,Fresno County,California,Police,http://fowlercity.org,TRUE,TRUE,,https://fowlercity.org/wp-content/uploads/2019/12/FPD-Policy-Manual-2020.pdf,http://fowlercity.org/wp-content/uploads/2022/03/Policy-Final-705-Military-Equipment.pdf,,
SB978-192,Fremont Police Department,,no,yes,Fremont,37.55148,-121.9833,Alameda County,California,Police,https://www.fremontpolice.gov,TRUE,TRUE,TRUE,https://public.powerdms.com/FremontPD/tree,https://www.fremontpolice.gov/home/showdocument?id=662&t=637831505654673630,https://www.fremontpolice.gov/home/showdocument?id=664&t=637831505661392494,
SB978-194,Fresno County Sheriff's Department,,no,yes,Fresno,36.74084,-119.7855,Fresno County,California,Sheriff,https://publicinfo.fresnosheriff.org,TRUE,TRUE,TRUE,https://publicinfo.fresnosheriff.org/docs/DocView.aspx?id=6515&dbid=0&repo=SheriffPublic&cr=1,https://publicinfo.fresnosheriff.org/docs/DocView.aspx?id=6515&dbid=0&repo=SheriffPublic&cr=1,https://www.fresnosheriff.org/images/pdfs/Assembly%20Bill%20481.pdf,
SB978-195,Fresno Police Department,,no,yes,Fresno,36.74084,-119.7855,Fresno County,California,Police,https://www.fresno.gov,TRUE,TRUE,TRUE,https://cityoffresno.wpenginepowered.com/police/wp-content/uploads/sites/5/2022/10/PolicyManual-Redacted-July-2022_Redacted.pdf,https://www.fresno.gov/police/wp-content/uploads/sites/5/2022/04/Policy-706-Military-DRAFT-A-AC-AK-approved.pdf,https://www.fresno.gov/police/wp-content/uploads/sites/5/2022/04/Inventory-April-12-20222.pdf,
SB978-197,Fullerton Police Department,,no,yes,Fullerton,33.87033,-117.9290,Orange County,California,Police,http://www.fullertonpd.org,TRUE,TRUE,,https://www.cityoffullerton.com/home/showpublisheddocument/4059/637514175760700000,https://www.cityoffullerton.com/home/showpublisheddocument/5931/637828681130730000,,
SB978-198,Galt Police Department,,no,yes,Galt,38.25299,-121.3008,Sacramento County,California,Police,http://www.ci.galt.ca.us,TRUE,TRUE,,https://www.ci.galt.ca.us/home/showpublisheddocument/37970,https://www.cityofgalt.org/home/showpublisheddocument/39105/637855490695261516,,
SB978-199,Garden Grove Police Department,,no,yes,Garden Grove,33.77607,-117.9361,Orange County,California,Police,https://ggcity.org/police,TRUE,TRUE,,https://public.powerdms.com/GGPDE/tree,https://ggcity.org/sites/default/files/g.o.-2.29-military-equipment_0.pdf,,
SB978-200,Gardena Police Department,,no,yes,Gardena,33.88379,-118.3070,Los Angeles County,California,Police,http://www.gardenapd.org,TRUE,TRUE,,http://www.gardenapd.org/wp-content/uploads/2021/01/Gardena-PD-Policy-Manual.pdf,http://www.gardenapd.org/wp-content/uploads/2022/07/CA-Gardena-PD-Policy-Manual-072122.pdf,,
SB978-202,Gilroy Police Department,,no,yes,Gilroy,37.00441,-121.5717,Santa Clara County,California,Police,http://www.cityofgilroy.org,TRUE,TRUE,,https://www.cityofgilroy.org/DocumentCenter/View/8858/Policy-Manual,https://www.cityofgilroy.org/DocumentCenter/View/12674/GPD-Proposed-Policy-708-and-Equipment-Inventory?bidId=,,
SB978-203,Glendale Community College District Police Department,,no,yes,Glendale,34.14633,-118.2486,Los Angeles County,California,College/University,https://www.glendale.edu,TRUE,FALSE,FALSE,https://www.glendale.edu/home/showpublisheddocument?id=42509,,,There is a muckrock request.
SB978-204,Glendale Police Department,,no,yes,Glendale,34.14633,-118.2486,Los Angeles County,California,Police,https://www.glendaleca.gov/government/departments/police-department,TRUE,TRUE,,https://www.glendaleca.gov/home/showdocument?id=54469,https://www.glendaleca.gov/home/showpublisheddocument/66249/637866449003800000,,
SB978-206,Glendora Police Department,,no,yes,Glendora,34.13602,-117.8644,Los Angeles County,California,Police,https://www.cityofglendora.org,TRUE,TRUE,,https://www.cityofglendora.org/home/showpublisheddocument/19086/637468394005900000,https://www.cityofglendora.org/home/showpublisheddocument/19086/637900959477600000,,
SB978-209,Glenn County Sheriff's Department/Coroner,,no,yes,Orland,39.74740,-122.1954,Glenn County,California,Sheriff,https://www.countyofglenn.net,TRUE,TRUE,TRUE,https://www.countyofglenn.net/sites/default/files/RELEASE_20210312_T104331_Glenn_County_SO_Policy_Manual.pdf,https://www.countyofglenn.net/sites/default/files/Sheriff/Military_Equipment_Draft_Policy%208-22.pdf,https://www.countyofglenn.net/sites/default/files/Sheriff/Military%20Equipment%20List%202022.pdf,
SB978-210,Gonzales Police Department,,no,yes,Gonzales,36.50777,-121.4434,Monterey County,California,Police,https://gonzalesca.gov,TRUE,TRUE,,https://gonzalesca.gov/sites/default/files/2019-12/12-19-2019.pdf,https://gonzalesca.gov/sites/default/files/2022-04/Military%20Equipment%2004192022_2.pdf,,
SB978-211,Grass Valley Police Department,,no,yes,Grass Valley,39.21926,-121.0615,Nevada County,California,Police,https://www.cityofgrassvalley.com,TRUE,TRUE,,https://www.cityofgrassvalley.com/sites/main/files/file-attachments/grass_valley_pd_ca_policy_manual.pdf?1610035304,https://www.cityofgrassvalley.com/sites/main/files/file-attachments/grass_valley_pd_ca_policy_manual.pdf?1610035304,,
SB978-212,Greenfield Police Department,,no,yes,Greenfield,36.31908,-121.2418,Monterey County,California,Police,https://ci.greenfield.ca.us,TRUE,TRUE,,https://ci.greenfield.ca.us/DocumentCenter/View/699/Greenfield-Police-Department-Policy-Manual?bidId=,https://www.ci.greenfield.ca.us/DocumentCenter/View/2804/Greenfield-PD-Military-Equipment-Policy?bidId=,,
SB978-213,Gridley Police Department,,no,yes,Gridley,39.36590,-121.6964,Butte County,California,Police,http://gridley.ca.us,TRUE,TRUE,,http://gridley.ca.us/public/uploads/pdfs/RELEASE_20201214_T101142_Gridley_PD_Policy_Manual.pdf,http://gridley.ca.us/public/uploads/pdfs/GPD_Policy_706_(Proposed)_and_Inventory.pdf,,
SB978-214,Grover Beach Police Department,,no,yes,Grover Beach,35.12137,-120.6215,San Luis Obispo County,California,Police,https://www.grover.org,TRUE,TRUE,,https://www.grover.org/DocumentCenter/View/9807/2021-Policy-Manual?bidId=,https://www.grover.org/DocumentCenter/View/12730/Military_Equipment-Draft-May-22,,
SB978-215,Guadalupe Police Department,,no,yes,Guadalupe,34.95934,-120.5740,Santa Barbara County,California,Police,https://ci.guadalupe.ca.us,TRUE,TRUE,,https://ci.guadalupe.ca.us/wp-content/uploads/2020/07/Guadalupe-Police-Department-Policy-Manual-1.pdf,NA,,
SB978-216,Gustine Police Department,,no,yes,Gustine,37.25683,-121.0019,Merced County,California,Police,https://www.cityofgustine.com,TRUE,TRUE,,https://www.cityofgustine.com/files/documents/PoliceDepartmentPolicyManual1588071349010720PM.pdf,https://www.cityofredding.org/home/showpublisheddocument/27221/637853515566100000,,"The Redding department seems to be in Gustine, see https://www.cityofgustine.com/newsview.aspx?nid=11164 "
SB978-218,Hanford Police Department,,no,yes,Hanford,36.32743,-119.6459,Kings County,California,Police,https://www.ci.hanford.ca.us/departments/police/index.php,TRUE,TRUE,,https://cms6.revize.com/revize/hanfordca/document_center/Police/Hanford%20PD%20Policy%20Manual%2001-2020.pdf,https://cms6.revize.com/revize/hanfordca/document_center/Police/MILITARY_EQUIPMENT.pdf,,404 error for this link
SB978-219,Hawthorne Police Department,,no,yes,Hawthorne,33.91822,-118.3527,Los Angeles County,California,Police,https://hawthornepolice.com,TRUE,FALSE,FALSE,https://static1.squarespace.com/static/51b4c088e4b09f20ab794c84/t/5ff39c815de1995715fc0981/1609800836639/Hawthorne+PD+Policy+1.4.2021.pdf,,https://static1.squarespace.com/static/51b4c088e4b09f20ab794c84/t/625077d01b677a5ca9bf0dbd/1649440721124/AB+841+Military+Equipment+List+Final+Version+Full-+Hawthorne+PD+2022.pdf,Can't find the military equipment policy even though the inventory list is available
SB978-220,Hayward Police Department,,no,yes,Hayward,37.67134,-122.0856,Alameda County,California,Police,https://www.hayward-ca.gov/police-department,TRUE,TRUE,TRUE,https://www.hayward-ca.gov/sites/default/files/documents/Hayward-PD-Policy-Manual-2106.pdf,https://www.hayward-ca.gov/sites/default/files/police/Policy%20706%20-%20Military%20Equipment%20Use%20-%20FINAL.pdf,https://www.hayward-ca.gov/sites/default/files/police/AB-481-HPD-Equipment-List-%28PDF-Final%29.pdf,
SB978-221,Healdsburg Police Department,,no,yes,Healdsburg,38.61064,-122.8688,Sonoma County,California,Police,https://www.ci.healdsburg.ca.us,TRUE,TRUE,TRUE,https://www.ci.healdsburg.ca.us/DocumentCenter/View/11325/Healdsburg_PD_Policy_Manual,https://www.ci.healdsburg.ca.us/DocumentCenter/View/13993/Proposed_Military_Equipment_Use_Policy?bidId=,https://www.ci.healdsburg.ca.us/DocumentCenter/View/13994/Healdsburg_Police_Military_Use_Policy_Inventory_List?bidId=,
SB978-222,Hemet Police Department,,no,yes,Hemet,33.74937,-116.9676,Riverside County,California,Police,http://www.hemetca.gov,TRUE,TRUE,,https://www.hemetca.gov/DocumentCenter/View/6188/Hemet_PD_Policy_Manual--Update-release-12242019,https://hemetpd.com/wp-content/uploads/2022/06/hemet-police-military-equipment-policy-update.pdf,,
SB978-223,Hercules Police Department,,no,yes,Hercules,38.01040,-122.2654,Contra Costa County,California,Police,https://www.ci.hercules.ca.us,TRUE,TRUE,,https://www.ci.hercules.ca.us/home/showpublisheddocument/13285/637492559842770000,https://www.ci.hercules.ca.us/home/showpublisheddocument/15171/637837243015670000,,
SB978-224,Hermosa Beach Police Department,,no,yes,Hermosa Beach,33.86404,-118.3953,Los Angeles County,California,Police,https://www.hermosabeach.gov,TRUE,TRUE,TRUE,https://www.hermosabeach.gov/Home/ShowDocument?id=13444,https://www.hermosabeach.gov/home/showpublisheddocument/17032/637846759975270000,https://www.hermosabeach.gov/home/showpublisheddocument/17006/637842252818500000,
SB978-226,Hillsborough Police Department,,no,yes,Hillsborough,37.57796,-122.3556,San Mateo County,California,Police,https://www.hillsborough.net,TRUE,TRUE,,https://www.hillsborough.net/DocumentCenter/View/3774/HPD-Policy-Manual-?bidId=,https://www.hillsborough.net/DocumentCenter/View/3774/HPD-Policy-Manual-?bidId=,,
SB978-227,Hollister Police Department,,no,yes,Hollister,36.85254,-121.4034,San Benito County,California,Police,http://hollister.ca.gov,TRUE,TRUE,TRUE,http://hollister.ca.gov/wp-content/uploads/2020/01/Hollister_PD_Policy_Manual-RELEASE_20191226.pdf,http://hollister.ca.gov/wp-content/uploads/2022/04/HPD-Policy-710-Military_Equipment.pdf,https://hollister.ca.gov/wp-content/uploads/2022/04/Military-Equip-in-Use-2022-Rpt..pdf,
SB978-229,Humboldt County Sheriff's Department,,,YES,Eureka,40.80327,-124.1595,Humboldt County,California,Sheriff,https://humboldtgov.org,TRUE,FALSE,FALSE,https://humboldtgov.org/DocumentCenter/View/86838/HCSO-Policy-Manual,,,Mentions they will be uploading their policy here; not available as of 11-30-22.
SB978-231,Huntington Beach Police Department,,no,yes,Huntington Beach,33.67893,-118.0016,Orange County,California,Police,https://www.huntingtonbeachca.gov,TRUE,TRUE,,https://www.huntingtonbeachca.gov/government/departments/pd/documents/HBPD-Policy-Manual.pdf, https://huntingtonbeachca.gov/government/departments/pd/documents/AB481-Policy.pdf,,
SB978-232,Huntington Park Police Department,,no,yes,Huntington Park,33.98143,-118.2191,Los Angeles County,California,Police,http://hppolice.org,TRUE,TRUE,,http://hppolice.org/wp-content/uploads/2022/09/RELEASE_20220428_T225337_Huntington_Park_PD_Policy_Manual-1.pdf,https://hppolice.org/wp-content/uploads/2022/09/RELEASE_20220428_T225337_Huntington_Park_PD_Policy_Manual-1.pdf,,
SB978-233,Huron Police Department,,no,yes,Huron,36.20341,-120.1035,Fresno County,California,Police,http://cityofhuron.com,TRUE,TRUE,,http://cityofhuron.com/wp-content/uploads/2020/01/Huron_PD_Policy_Manual-002.pdf,NA,,
SB978-236,Imperial Police Department,,no,yes,Imperial,32.84748,-115.5695,Imperial County,California,Police,https://www.cityofimperial.org,TRUE,TRUE,,https://www.cityofimperial.org/public_docs/Docs/IPD/IPD_Policy_Manual.pdf,NA,,
SB978-237,Indio Police Department,,no,yes,Indio,33.72213,-116.2194,Riverside County,California,Police,https://www.indio.org,TRUE,TRUE,,https://www.indiopd.org/about-ipd/policy-manual,NA,,There's nothing at this link.
SB978-238,Inglewood Police Department,,no,yes,Inglewood,33.96178,-118.3565,Los Angeles County,California,Police,https://www.cityofinglewood.org,TRUE,TRUE,,https://www.cityofinglewood.org/DocumentCenter/View/15751/IPDPolicyManual-12302020,NA,,
SB978-241,Inyo County Sheriff's Department,,no,yes,Bishop,37.36680,-118.3953,Inyo County,California,Sheriff,https://www.inyocounty.us,TRUE,TRUE,,https://www.inyocounty.us/sites/default/files/2022-06/DA%20Policy%20Manual%20June%202022.pdf,https://www.inyocounty.us/sites/default/files/2022-06/DA%20Policy%20Manual%20June%202022.pdf,,
SB978-242,Ione Police Department,,no,yes,Ione,38.35250,-120.9333,Amador County,California,Police,https://www.ione-ca.com,TRUE,TRUE,,https://www.ione-ca.com/images/pdfs/Police_Dept/RELEASE_20220801_T160510_Ione_PD_Policy_Manual.pdf,NA,,
SB978-243,Irvine Police Department,,no,yes,Irvine,33.68730,-117.8259,Orange County,California,Police,https://www.cityofirvine.org,TRUE,TRUE,,https://www.cityofirvine.org/cmis/views/b5478395-05d9-46ff-aa28-9797babfc5f2%253B1.2, https://www.cityofirvine.org/cmis/views/6506369d-8966-4bc8-bcd8-b2122bc2749a%253B1.0,,
SB978-245,Irwindale Police Department,,no,yes,Irwindale,34.10514,-117.9338,Los Angeles County,California,Police,https://www.irwindaleca.gov,TRUE,TRUE,,https://www.irwindaleca.gov/DocumentCenter/View/5953/RELEASE_20200330_T150412_Irwindale_PD_Policy_Manual,NA,,
SB978-246,Jackson Police Department,,no,yes,Jackson,38.34712,-120.7734,Amador County,California,Police,https://www.ci.jackson.ca.us,TRUE,TRUE,,https://cms8.revize.com/revize/jacksonca/Document%20Center/City%20Services/Police/Jackson_PD_Policy_Manual.pdf,https://cms8.revize.com/revize/jacksonca/Document%20Center/City%20Services/Police/Jackson%20-%20Military%20Equipment%20Use%20Policy%20(AB%20481)-4.2022.pdf,,
SB978-247,Kensington Police Department,,no,yes,Kensington,37.91285,-122.2813,Contra Costa County,California,Police,https://www.kppcsd.org,TRUE,TRUE,,https://www.kppcsd.org/files/d7b410116/Kensington_PD_Policy_Manual.pdf,NA,,
SB978-248,Kerman Police Department,,no,yes,Kerman,36.72926,-120.0603,Fresno County,California,Police,https://cityofkerman.net,TRUE,TRUE,,https://cityofkerman.net/wp-content/uploads/2022/07/Kerman_PD_RELEASE_20220628_T125233_Policy_Manual.pdf,https://cityofkerman.net/wp-content/uploads/2022/07/Kerman_PD_RELEASE_20220628_T125233_Policy_Manual.pdf,,
SB978-251,Kern County Sheriff's Department,,no,yes,Bakersfield,35.36723,-119.0189,Kern County,California,Sheriff,https://www.kernsheriff.org,TRUE,TRUE,,https://kernsheriff.org/Policies,https://www.kernsheriff.org/Policies_Document/Department/DepartmentPolicies_SectionJ.pdf,,
SB978-253,King City Police Department,,no,yes,King City,36.21086,-121.1266,Monterey County,California,Police,http://www.kingcity.com,TRUE,TRUE,,https://www.kingcity.com/wp-content/uploads/2015/03/King-City-Police-Department-Policy-Manual.pdf,https://www.kingcity.com/wp-content/uploads/2022/04/April-12-2022-City-Council-Agenda-Packet.pdf,,Policy + inventory is included in these agenda minutes
SB978-256,Kings County Sheriff's Department,,no,yes,Hanford,36.32743,-119.6459,Kings County,California,Sheriff,https://www.countyofkings.com,TRUE,TRUE,,https://www.countyofkings.com/home/showpublisheddocument/29224/637921834929700000,https://www.countyofkings.com/home/showpublisheddocument/29224/637921834929700000,,
SB978-257,Kingsburg Police Department,,no,yes,Kingsburg,36.51515,-119.5523,Fresno County,California,Police,https://www.cityofkingsburg-ca.gov,TRUE,TRUE,,https://www.cityofkingsburg-ca.gov/DocumentCenter/View/1146/Kingsburg-Police-Department-Policy-Manual,NA,,
SB978-258,La Habra Police Department,,no,yes,La Habra,33.93187,-117.9435,Orange County,California,Police,https://www.lahabracity.com,TRUE,TRUE,,https://www.lahabraca.gov/DocumentCenter/View/12340/LHPD-Policy-Manual-Updated-41922,https://www.lahabraca.gov/DocumentCenter/View/12340/LHPD-Policy-Manual-Updated-41922,,
SB978-259,La Mesa Police Department,,no,yes,La Mesa,32.76604,-117.0244,San Diego County,California,Police,https://www.cityoflamesa.us,TRUE,TRUE,,https://www.cityoflamesa.us/1594/Police-Policies-and-Training-Materials,NA,,"Not available, currently updating using Lexipol."
SB978-260,La Palma Police Department,,no,yes,La Palma,33.84847,-118.0373,Orange County,California,Police,https://www.cityoflapalma.org,TRUE,TRUE,,https://www.cityoflapalma.org/DocumentCenter/View/9623/Policy-Manual-Public-Version,https://www.cityoflapalma.org/DocumentCenter/View/11425/Military-Equipment-DRAFT-Policy?bidId=,,
SB978-261,La Verne Police Department,,no,yes,La Verne,34.11300,-117.7653,Los Angeles County,California,Police,https://www.lvpd.org,TRUE,TRUE,TRUE,https://www.lvpd.org/uploads/files/Policy%20Manual/RELEASE_20220211_T133953_La_Verne_PD_Policy_Manual.pdf,https://www.lvpd.org/uploads/files/Policy%20Manual/Military_Equipment%20(new%20policy%20draft%20Jan%202022)LVPD.pdf,https://www.lvpd.org/uploads/files/Policy%20Manual/709%20MILITARY%20EQUIPMENT%20INVENTORY-%20%20Draft%20Policy.pdf,
